stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,stop_x_coord,stop_y_coord,zone_id,stop_url,location_type,parent_station
1000,,"Pine St / 9th Ave",,  47.613470,-122.332184,1270745.3,227374.4,,,0,
1081,,"Pine St / 9th Ave",,  47.613648,-122.331909,1270814.4,227438.0,,,0,
1085,,"Pine St / 8th Aly",,  47.613320,-122.332541,1270656.1,227321.7,,,0,
10911,,"NE 45th St / University Way NE",,  47.661213,-122.313474,1275694.3,244697.1,,,0,
10912,,"15th Ave NE / NE 43rd St",,  47.659369,-122.311992,1276046.6,244017.6,,,0,
10914,,"15th Ave NE / NE Campus Pkwy",,  47.656428,-122.312062,1276008.7,242945.2,,,0,
10915,,"Harvard Ave E / Harvard Ave E",,  47.650094,-122.322094,1273492.0,240682.8,,,0,
10916,,"Harvard Ave E / Harvard Ave E",,  47.649705,-122.322095,1273489.0,240541.1,,,0,
10920,,"Harvard Ave E / E Shelby St",,  47.647006,-122.322190,1273446.5,239557.3,,,0,
10940,,"10th Ave E / E Roanoke St",,  47.642937,-122.320055,1273944.0,238063.2,,,0,
10950,,"10th Ave E / E Miller St",,  47.641161,-122.320058,1273930.9,237415.4,,,0,
10970,,"10th Ave E / E Newton St",,  47.637031,-122.320080,1273896.3,235909.4,,,0,
10990,,"10th Ave E / E Galer St",,  47.632126,-122.320205,1273830.9,234120.9,,,0,
11010,,"10th Ave E / E Prospect St",,  47.628735,-122.320211,1273805.6,232884.5,,,0,
11030,,"E Roy St / Broadway E",,  47.625145,-122.320744,1273648.7,231577.7,,,0,
11040,,"Broadway E / E Republican St",,  47.622895,-122.320919,1273589.8,230757.8,,,0,
11050,,"Broadway E / E Thomas St",,  47.620817,-122.320886,1273583.3,229999.9,,,0,
11060,,"Broadway / E Denny Way",,  47.618542,-122.320850,1273576.2,229170.2,,,0,
11070,,"Broadway / E Pine St",,  47.616197,-122.320812,1273568.9,228314.6,,,0,
11080,,"E Pine St / Harvard Aly",,  47.615232,-122.321488,1273395.5,227966.1,,,0,
11090,,"E Pine St / Summit Ave",,  47.615276,-122.325131,1272497.5,227999.5,,,0,
1110,,"Pine St / 5th Ave",,  47.611710,-122.336396,1269694.0,226752.9,,,0,
11100,,"E Pine St / Bellevue Ave",,  47.615229,-122.327270,1271969.6,227992.4,,,0,
11132,,"Pike St / Boren Aly",,  47.613641,-122.328498,1271655.6,227419.2,,,0,
11140,,"E Pine St / Belmont Ave",,  47.615172,-122.324632,1272619.6,227959.2,,,0,
11150,,"E Pine St / Harvard Aly",,  47.615232,-122.321609,1273365.5,227966.4,,,0,
11180,,"Broadway E / E John St",,  47.620156,-122.320875,1273581.3,229758.9,,,0,
11190,,"Broadway E / E Harrison St",,  47.622196,-122.320908,1273587.6,230502.8,,,0,
11191,,"10th Ave E / E Mercer St",,  47.623958,-122.319892,1273850.5,231140.7,,,0,
1120,,"Pine St / Pine Street Island AcRd",,  47.611050,-122.337972,1269300.6,226519.9,,,0,
11200,,"Broadway E / E Mercer St",,  47.624614,-122.320936,1273597.8,231384.8,,,0,
11230,,"10th Ave E / E Prospect St",,  47.628864,-122.320210,1273806.6,232931.5,,,0,
11250,,"10th Ave E / E Galer St",,  47.632219,-122.320205,1273831.5,234154.9,,,0,
11270,,"10th Ave E / E Howe St",,  47.636160,-122.320086,1273888.6,235591.5,,,0,
11290,,"10th Ave E / E Miller St",,  47.641573,-122.320057,1273934.0,237565.8,,,0,
11300,,"E Roanoke St / Broadway E",,  47.643195,-122.320734,1273778.5,238160.4,,,0,
11330,,"Harvard Ave E / E Shelby St",,  47.647170,-122.322011,1273491.8,239616.3,,,0,
11352,,"15th Ave NE / NE 42nd St",,  47.658670,-122.312008,1276037.6,243762.5,,,0,
11370,,"15th Ave E / E Galer St",,  47.632500,-122.312572,1275715.1,234221.3,,,0,
11390,,"15th Ave E / E Prospect St",,  47.628478,-122.312559,1275690.2,232754.2,,,0,
11400,,"15th Ave E / E Aloha St",,  47.626683,-122.312570,1275675.0,232099.9,,,0,
